procs  memory       page                    disks     faults         cpu
r b w  avm   fre   flt  re  pi  po    fr   sr da0 cd0   in    sy    cs us sy id
1 0 0 273M  822M    34   0   0   0     0   22   0   0 1858 16668  4866 77 23  0
1 0 0 273M  822M   441   0   0   0   408   20   0   0 1786 17480  4572 82 18  0
1 0 0 273M  822M    29   0   0   0     0   20   0   0 1517 14978  4031 78 22  0
1 0 0 274M  822M   509   0   0   0   478   20   0   0 1565 16063  4146 75 25  0
1 0 0 274M  822M    28   0   0   0     0   20   0   0 1500 14725  3842 76 24  0
1 0 0 274M  822M   224   0   0   0   199   20   2   0 1640 15582  4419 80 20  0
1 0 0 274M  821M    26   0   0   0     0   24   0   0 1669 15791  4317 78 22  0
1 0 0 274M  821M    48   0   0   0    19   33   0   0 1604 15490  4223 74 26  0
1 0 0 274M  821M    31   0   0   0     0   30   0   0 1613 15633  4225 78 22  0
1 0 0 274M  821M    50   0   0   0    17   30   0   0 1710 16694  4241 73 27  0
1 0 0 274M  821M    35   0   0   0     0   33   0   0 1867 16999  5013 79 21  0
1 0 0 275M  821M   505   0   0   0   472   30   0   0 1915 17568  5067 74 26  0
procs  memory       page                    disks     faults         cpu
r b w  avm   fre   flt  re  pi  po    fr   sr da0 cd0   in    sy    cs us sy id
1 0 0 275M  821M    31   0   0   0     0   30   0   0 1821 16214  4859 75 25  0
1 0 0 275M  821M   312   0   0   0   279   30   0   0 1661 17061  4429 77 23  0
1 0 0 275M  820M    31   0   0   0     0   30   0   0 1666 15658  4356 79 21  0
1 0 0 275M  820M   238   0   0   0   206   30   0   0 1551 15300  4165 78 22  0
1 0 0 275M  820M    30   0   0   0     0   30   0   0 1832 15961  5026 81 19  0
1 0 0 275M  820M   433   0   0   0   402   33   0   0 1609 16214  4168 77 23  0
1 0 0 275M  820M    28   0   0   0     0   30   0   0 1492 13752  3958 78 22  0
1 0 0 275M  820M    27   0   0   0     0   30   0   0 1459 13923  3767 76 24  0
1 0 0 276M  820M   725   0   0   0   693   30   0   0 1717 16849  4663 76 24  0
