procs  memory       page                    disks     faults         cpu
r b w  avm   fre   flt  re  pi  po    fr   sr da0 cd0   in    sy    cs us sy id
1 0 0 273M  822M    32   0   0   0     0   20   2   0 1827 16040  4846 75 25  0
1 0 0 273M  822M   153   0   0   0   119   20   0   0 1973 17126  5652 71 29  0
1 0 0 273M  822M    33   0   0   0     0   22   0   0 1781 16433  4665 72 28  0
1 0 0 273M  822M   279   0   0   0   316   20   0   0 1735 16839  4812 77 23  0
1 0 0 273M  822M    33   0   0   0     0   20   0   0 1351 16374  3384 80 20  0
1 0 0 274M  822M   159   0   0   0   127   20   0   0 1473 16336  3773 76 24  0
1 0 0 274M  822M    33   0   0   0     0   20   0   0 1710 16434  4504 73 27  0
1 0 0 274M  822M   428   0   0   0   396   20   0   0 1732 17195  4562 76 24  0
1 0 0 274M  822M    33   0   0   0     0   22   0   0 1765 16220  4969 76 24  0
1 0 0 274M  821M    35   0   0   0     4   25   0   0 1942 16365  5446 81 19  0
1 0 0 274M  821M    33   0   0   0     0   30   0   0 1787 16502  4832 75 25  0
1 0 0 274M  821M    35   0   0   0     2   30   0   0 1924 16497  5411 73 27  0
procs  memory       page                    disks     faults         cpu
r b w  avm   fre   flt  re  pi  po    fr   sr da0 cd0   in    sy    cs us sy id
1 0 0 274M  821M    32   0   0   0     0   30   0   0 1799 16297  5163 77 23  0
1 0 0 275M  821M    38   0   0   0     5   33   0   0 1790 16415  4821 79 21  0
1 0 0 275M  821M    32   0   0   0     0   30   0   0 1795 16258  4865 82 18  0
1 0 0 275M  821M    63   0   0   0    30   30   0   0 1661 16470  4416 71 29  0
1 0 0 275M  821M    32   0   0   0     0   30   0   0 1790 16213  4785 78 22  0
1 0 0 275M  820M   445   0   0   0   412   30   0   0 1693 17137  4526 78 22  0
1 0 0 275M  820M    34   0   0   0     0   30   0   0 1879 16294  4966 72 28  0
1 0 0 275M  820M   444   0   0   0   412   33   0   0 1584 16606  4058 76 24  0
1 0 0 275M  820M    31   0   0   0     0   30   0   0 1797 16155  4750 76 24  0
1 0 0 276M  820M   445   0   0   0   412   30   1   0 1691 17033  4445 77 23  0
1 0 0 276M  820M    32   0   0   0     0   30   0   0 1787 16335  4746 78 22  0
1 0 0 276M  820M   444   0   0   0   412   30   1   0 1883 17190  5208 77 23  0
1 0 0 276M  820M    34   0   0   0     0   33   0   0 1804 16652  4873 77 23  0
1 0 0 276M  819M   445   0   0   0   422   30   1   0 1651 17559  4455 77 23  0
1 0 0 276M  819M    36   0   0   0     0   30   0   0 1859 16266  5046 78 22  0
1 0 0 276M  819M    72   0   0   0    41   30   0   0 1738 16071  4751 76 24  0
1 0 0 276M  819M    32   0   0   0     0   30   0   0 1903 16250  5120 76 24  0
1 0 0 277M  819M   444   0   0   0   412   33   0   0 1793 16998  4968 76 24  0
1 0 0 277M  819M    36   0   0   0     0   30   2   0 1820 16357  4924 74 26  0
1 0 0 277M  819M   436   0   0   0   412   30   0   0 1759 16694  4701 77 23  0
procs  memory       page                    disks     faults         cpu
r b w  avm   fre   flt  re  pi  po    fr   sr da0 cd0   in    sy    cs us sy id
1 0 0 277M  819M    33   0   0   0     0   30   0   0 1754 16110  4523 72 28  0
1 0 0 277M  818M   270   0   0   0   238   30   0   0 1861 17214  4966 78 22  0
1 0 0 277M  818M    32   0   0   0     0   30   0   0 1725 16110  4557 79 21  0
