procs  memory       page                    disks     faults         cpu
r b w  avm   fre   flt  re  pi  po    fr   sr da0 cd0   in    sy    cs us sy id
1 0 0 273M  823M    32   0   0   0     0   20   0   0 1625 16176  4078 77 23  0
1 0 0 273M  823M   319   0   0   0   286   20   0   0 1713 17120  4244 78 22  0
1 0 0 273M  823M   667   0   0   0   636   20   0   0 1901 17851  4985 78 22  0
1 0 0 273M  822M    39   0   0   0     1   20   0   0 1779 16382  4700 82 18  0
1 0 0 273M  822M   207   0   0   0   174   22   0   0 1855 17139  4654 74 26  0
1 0 0 273M  822M    34   0   0   0     0   20   2   0 1583 17021  4022 79 21  0
1 0 0 274M  822M    32   0   0   0     1   20   0   0 1660 16061  4238 76 24  0
1 0 0 274M  822M    36   0   0   0     0   20   0   0 1778 16443  4637 74 26  0
1 0 0 274M  822M    95   0   0   0    63   20   0   0 1821 16329  4542 72 28  0
1 0 0 274M  822M    32   0   0   0     3   20   0   0 1613 16183  4137 80 20  0
1 0 0 274M  822M    96   0   0   0    63   28   0   0 1804 16411  4570 76 24  0
1 0 0 274M  821M    33   0   0   0     0   30   0   0 1793 16699  4598 76 24  0
procs  memory       page                    disks     faults         cpu
r b w  avm   fre   flt  re  pi  po    fr   sr da0 cd0   in    sy    cs us sy id
1 0 0 274M  821M    95   0   0   0    63   30   0   0 1748 16362  4543 76 24  0
1 0 0 274M  821M    37   0   0   0     0   30   0   0 2039 16976  5583 75 25  0
1 0 0 275M  821M    32   0   0   0     1   30   0   0 1810 16205  4808 78 22  0
1 0 0 275M  821M    34   0   0   0     0   30   0   0 1625 16270  4079 74 26  0
1 0 0 275M  821M   282   0   0   0   252   30   0   0 1682 16695  4305 70 30  0
1 0 0 275M  821M    34   0   0   0     0   33   0   0 1737 16383  4778 77 23  0
1 0 0 275M  821M    50   0   0   0    23   30   0   0 1931 16673  5039 73 27  0
1 0 0 275M  820M    33   0   0   0     0   30   0   0 1891 16357  4883 76 24  0
1 0 0 275M  820M    54   0   0   0    23   30   0   0 1668 16316  4146 71 29  0
1 0 0 275M  820M    34   0   0   0     0   30   0   0 1891 16756  5131 80 20  0
1 0 0 276M  820M    56   0   0   0    23   30   1   0 1749 16427  4653 75 25  0
1 0 0 276M  820M    34   0   0   0     0   33   0   0 1827 16382  4606 78 22  0
1 0 0 276M  820M   413   0   0   0   383   30   1   0 1794 17341  4641 73 27  0
1 0 0 276M  820M   292   0   0   0   324   30   1   0 1451 17217  3555 84 16  0
1 0 0 276M  819M   523   0   0   0   492   30   0   0 1387 16891  3415 78 22  0
1 0 0 276M  819M    33   0   0   0     0   30   0   0 1785 16224  4501 75 25  0
1 0 0 276M  819M    34   0   0   0     1   33   0   0 1834 16451  4828 80 20  0
1 0 0 276M  819M    33   0   0   0     0   30   0   0 1657 16278  4293 81 19  0
1 0 0 277M  819M    73   0   0   0    39   30   0   0 1818 16362  4713 79 21  0
1 0 0 277M  819M    33   0   0   0     0   30   0   0 1730 16606  4491 73 27  0
procs  memory       page                    disks     faults         cpu
r b w  avm   fre   flt  re  pi  po    fr   sr da0 cd0   in    sy    cs us sy id
1 0 0 277M  819M    69   0   0   0    39   30   0   0 1641 16180  4258 79 21  0
1 0 0 277M  819M    34   0   0   0     0   30   0   0 1779 16203  4571 70 30  0
1 0 0 277M  818M   315   0   0   0   284   30   0   0 1818 16659  4707 77 23  0
1 0 0 277M  818M    33   0   0   0     0   33   0   0 1657 16315  4328 75 25  0
